2026-04-22T18:49:27.305848100Z INFO Starting — 20 threads available
2026-04-22T18:49:28.996902700Z INFO Batch 58: 10000 rows processed
2026-04-22T18:49:29.008953900Z INFO Batch 59: 10000 rows processed
2026-04-22T18:49:29.018496100Z INFO Batch 60: 10000 rows processed
2026-04-22T18:49:29.027022600Z INFO Batch 61: 10000 rows processed
2026-04-22T18:49:29.035546900Z INFO Batch 62: 10000 rows processed
2026-04-22T18:49:29.044589800Z INFO Batch 63: 10000 rows processed
2026-04-22T18:49:29.052769700Z INFO Batch 64: 10000 rows processed
2026-04-22T18:49:29.062301400Z INFO Batch 65: 10000 rows processed
2026-04-22T18:49:29.259909300Z INFO Batch 66: 10000 rows processed
2026-04-22T18:49:29.273712600Z INFO Batch 67: 10000 rows processed
2026-04-22T18:49:29.284171200Z INFO Batch 68: 10000 rows processed
2026-04-22T18:49:29.291718500Z INFO Batch 69: 10000 rows processed
2026-04-22T18:49:29.302253400Z INFO Batch 70: 10000 rows processed
2026-04-22T18:49:29.310816200Z INFO Batch 71: 10000 rows processed
2026-04-22T18:49:29.319335700Z INFO Batch 72: 10000 rows processed
2026-04-22T18:49:29.327559Z INFO Batch 73: 10000 rows processed
2026-04-22T18:49:29.337488700Z INFO Batch 74: 10000 rows processed
2026-04-22T18:49:29.345512400Z INFO Batch 75: 10000 rows processed
2026-04-22T18:49:29.353801100Z INFO Batch 76: 10000 rows processed
2026-04-22T18:49:29.362139200Z INFO Batch 77: 10000 rows processed
2026-04-22T18:49:29.370678400Z INFO Batch 78: 10000 rows processed
2026-04-22T18:49:29.380392Z INFO Batch 79: 10000 rows processed
2026-04-22T18:49:29.387912100Z INFO Batch 80: 10000 rows processed
2026-04-22T18:49:29.397932900Z INFO Batch 81: 10000 rows processed
2026-04-22T18:49:29.407676Z INFO Batch 82: 10000 rows processed
2026-04-22T18:49:29.415708200Z INFO Batch 83: 10000 rows processed
2026-04-22T18:49:29.424772100Z INFO Batch 84: 10000 rows processed
2026-04-22T18:49:29.434195300Z INFO Batch 85: 10000 rows processed
2026-04-22T18:49:29.442709700Z INFO Batch 86: 10000 rows processed
2026-04-22T18:49:29.452943200Z INFO Batch 87: 10000 rows processed
2026-04-22T18:49:29.461482700Z INFO Batch 88: 10000 rows processed
2026-04-22T18:49:29.657556100Z INFO Batch 89: 10000 rows processed
2026-04-22T18:49:29.674607600Z INFO Batch 90: 10000 rows processed
2026-04-22T18:49:29.683886300Z INFO Batch 91: 10000 rows processed
2026-04-22T18:49:29.905996400Z INFO Batch 92: 10000 rows processed
2026-04-22T18:49:29.920064Z INFO Batch 93: 10000 rows processed
2026-04-22T18:49:29.933100600Z INFO Batch 94: 10000 rows processed
2026-04-22T18:49:29.944624200Z INFO Batch 95: 10000 rows processed
2026-04-22T18:49:29.958645900Z INFO Batch 96: 10000 rows processed
2026-04-22T18:49:29.971306Z INFO Batch 97: 10000 rows processed
2026-04-22T18:49:29.984823200Z INFO Batch 98: 10000 rows processed
2026-04-22T18:49:29.997839700Z INFO Batch 99: 10000 rows processed
2026-04-22T18:49:30.015364600Z INFO Batch 100: 10000 rows processed
2026-04-22T18:49:30.033913900Z INFO Batch 101: 10000 rows processed
2026-04-22T18:49:30.052951600Z INFO Batch 102: 10000 rows processed
2026-04-22T18:49:30.071977700Z INFO Batch 103: 10000 rows processed
2026-04-22T18:49:30.088002200Z INFO Batch 104: 10000 rows processed
2026-04-22T18:49:30.104534Z INFO Batch 105: 10000 rows processed
2026-04-22T18:49:30.123499700Z INFO Batch 106: 10000 rows processed
2026-04-22T18:49:30.139062Z INFO Batch 107: 10000 rows processed
2026-04-22T18:49:30.154582600Z INFO Batch 108: 10000 rows processed
2026-04-22T18:49:30.177563200Z INFO Batch 109: 10000 rows processed
2026-04-22T18:49:30.201117Z INFO Batch 110: 10000 rows processed
2026-04-22T18:49:30.217644200Z INFO Batch 111: 10000 rows processed
2026-04-22T18:49:30.228127200Z INFO Batch 112: 10000 rows processed
2026-04-22T18:49:30.239675100Z INFO Batch 113: 10000 rows processed
2026-04-22T18:49:30.250196200Z INFO Batch 114: 10000 rows processed
2026-04-22T18:49:30.261742700Z INFO Batch 115: 10000 rows processed
2026-04-22T18:49:30.273268400Z INFO Batch 116: 10000 rows processed
2026-04-22T18:49:30.282795600Z INFO Batch 117: 10000 rows processed
2026-04-22T18:49:30.293322Z INFO Batch 118: 10000 rows processed
2026-04-22T18:49:30.302859600Z INFO Batch 119: 10000 rows processed
2026-04-22T18:49:30.312401100Z INFO Batch 120: 10000 rows processed
2026-04-22T18:49:30.322959700Z INFO Batch 121: 10000 rows processed
2026-04-22T18:49:30.334010Z INFO Batch 122: 10000 rows processed
2026-04-22T18:49:30.343532800Z INFO Batch 123: 10000 rows processed
2026-04-22T18:49:30.353051100Z INFO Batch 124: 10000 rows processed
2026-04-22T18:49:30.365585200Z INFO Batch 125: 10000 rows processed
2026-04-22T18:49:30.376148400Z INFO Batch 126: 10000 rows processed
2026-04-22T18:49:30.846696700Z INFO Batch 127: 10000 rows processed
2026-04-22T18:49:30.858495500Z INFO Batch 128: 10000 rows processed
2026-04-22T18:49:30.869123800Z INFO Batch 129: 10000 rows processed
2026-04-22T18:49:30.877633400Z INFO Batch 130: 10000 rows processed
2026-04-22T18:49:30.886646Z INFO Batch 131: 10000 rows processed
2026-04-22T18:49:30.895994900Z INFO Batch 132: 10000 rows processed
2026-04-22T18:49:30.904532200Z INFO Batch 133: 10000 rows processed
2026-04-22T18:49:30.914571200Z INFO Batch 134: 10000 rows processed
2026-04-22T18:49:30.924083Z INFO Batch 135: 10000 rows processed
2026-04-22T18:49:30.933159200Z INFO Batch 136: 10000 rows processed
2026-04-22T18:49:30.941662100Z INFO Batch 137: 10000 rows processed
2026-04-22T18:49:30.951182800Z INFO Batch 138: 10000 rows processed
2026-04-22T18:49:30.960721800Z INFO Batch 139: 10000 rows processed
2026-04-22T18:49:30.969243100Z INFO Batch 140: 10000 rows processed
2026-04-22T18:49:30.978767500Z INFO Batch 141: 10000 rows processed
2026-04-22T18:49:30.986762100Z INFO Batch 142: 10000 rows processed
2026-04-22T18:49:30.995285800Z INFO Batch 143: 10000 rows processed
2026-04-22T18:49:31.004806Z INFO Batch 144: 10000 rows processed
2026-04-22T18:49:31.013327300Z INFO Batch 145: 10000 rows processed
2026-04-22T18:49:31.023850200Z INFO Batch 146: 10000 rows processed
2026-04-22T18:49:31.032875400Z INFO Batch 147: 10000 rows processed
2026-04-22T18:49:31.043401500Z INFO Batch 148: 10000 rows processed
2026-04-22T18:49:31.051917900Z INFO Batch 149: 10000 rows processed
2026-04-22T18:49:31.062442200Z INFO Batch 150: 10000 rows processed
2026-04-22T18:49:31.070977400Z INFO Batch 151: 10000 rows processed
2026-04-22T18:49:31.081513600Z INFO Batch 152: 10000 rows processed
2026-04-22T18:49:31.091048400Z INFO Batch 153: 10000 rows processed
2026-04-22T18:49:31.099575700Z INFO Batch 154: 10000 rows processed
2026-04-22T18:49:31.109110400Z INFO Batch 155: 10000 rows processed
2026-04-22T18:49:31.118033400Z INFO Batch 156: 10000 rows processed
2026-04-22T18:49:31.127683200Z INFO Batch 157: 10000 rows processed
2026-04-22T18:49:31.138206100Z INFO Batch 158: 10000 rows processed
2026-04-22T18:49:31.147726100Z INFO Batch 159: 10000 rows processed
2026-04-22T18:49:31.156733900Z INFO Batch 160: 10000 rows processed
2026-04-22T18:49:31.166254500Z INFO Batch 161: 10000 rows processed
2026-04-22T18:49:31.174770500Z INFO Batch 162: 10000 rows processed
2026-04-22T18:49:31.394658600Z INFO Batch 163: 10000 rows processed
2026-04-22T18:49:31.405185800Z INFO Batch 164: 10000 rows processed
2026-04-22T18:49:31.414705500Z INFO Batch 165: 10000 rows processed
2026-04-22T18:49:31.666175500Z INFO Batch 166: 10000 rows processed
2026-04-22T18:49:31.693722500Z INFO Batch 167: 10000 rows processed
2026-04-22T18:49:31.720290Z INFO Batch 168: 10000 rows processed
2026-04-22T18:49:31.738362800Z INFO Batch 169: 10000 rows processed
2026-04-22T18:49:31.758418100Z INFO Batch 170: 10000 rows processed
2026-04-22T18:49:31.777560Z INFO Batch 171: 10000 rows processed
2026-04-22T18:49:31.796091600Z INFO Batch 172: 10000 rows processed
2026-04-22T18:49:31.816130300Z INFO Batch 173: 10000 rows processed
2026-04-22T18:49:31.833828100Z INFO Batch 174: 10000 rows processed
2026-04-22T18:49:31.853866Z INFO Batch 175: 10000 rows processed
2026-04-22T18:49:31.875902300Z INFO Batch 176: 10000 rows processed
2026-04-22T18:49:31.902361100Z INFO Batch 177: 10000 rows processed
2026-04-22T18:49:31.925404300Z INFO Batch 178: 10000 rows processed
2026-04-22T18:49:31.935922900Z INFO Batch 179: 10000 rows processed
2026-04-22T18:49:31.947440500Z INFO Batch 180: 10000 rows processed
2026-04-22T18:49:31.955961Z INFO Batch 181: 10000 rows processed
2026-04-22T18:49:31.968997200Z INFO Batch 182: 10000 rows processed
2026-04-22T18:49:31.978536400Z INFO Batch 183: 10000 rows processed
2026-04-22T18:49:31.989057300Z INFO Batch 184: 10000 rows processed
2026-04-22T18:49:31.997924600Z INFO Batch 185: 10000 rows processed
2026-04-22T18:49:32.009111300Z INFO Batch 186: 10000 rows processed
2026-04-22T18:49:32.019642200Z INFO Batch 187: 10000 rows processed
2026-04-22T18:49:32.030811600Z INFO Batch 188: 10000 rows processed
2026-04-22T18:49:32.040328800Z INFO Batch 189: 10000 rows processed
2026-04-22T18:49:32.049842800Z INFO Batch 190: 10000 rows processed
2026-04-22T18:49:32.061365900Z INFO Batch 191: 10000 rows processed
2026-04-22T18:49:32.071892800Z INFO Batch 192: 10000 rows processed
2026-04-22T18:49:32.082413800Z INFO Batch 193: 10000 rows processed
2026-04-22T18:49:32.093937800Z INFO Batch 194: 10000 rows processed
2026-04-22T18:49:32.104170500Z INFO Batch 195: 10000 rows processed
2026-04-22T18:49:32.114689500Z INFO Batch 196: 10000 rows processed
2026-04-22T18:49:32.124202900Z INFO Batch 197: 10000 rows processed
2026-04-22T18:49:32.134237600Z INFO Batch 198: 10000 rows processed
2026-04-22T18:49:32.144754600Z INFO Batch 199: 10000 rows processed
2026-04-22T18:49:32.156266300Z INFO Batch 200: 10000 rows processed
2026-04-22T18:49:32.167784900Z INFO Batch 201: 10000 rows processed
2026-04-22T18:49:32.179817200Z INFO Batch 202: 10000 rows processed
2026-04-22T18:49:32.712466100Z INFO Batch 203: 10000 rows processed
2026-04-22T18:49:32.722811700Z INFO Batch 204: 10000 rows processed
2026-04-22T18:49:32.732096300Z INFO Batch 205: 10000 rows processed
2026-04-22T18:49:32.743621200Z INFO Batch 206: 10000 rows processed
2026-04-22T18:49:32.752980100Z INFO Batch 207: 10000 rows processed
2026-04-22T18:49:32.761511800Z INFO Batch 208: 10000 rows processed
2026-04-22T18:49:32.770033900Z INFO Batch 209: 10000 rows processed
2026-04-22T18:49:32.779551800Z INFO Batch 210: 10000 rows processed
2026-04-22T18:49:32.789085300Z INFO Batch 211: 10000 rows processed
2026-04-22T18:49:32.797596400Z INFO Batch 212: 10000 rows processed
2026-04-22T18:49:32.806603200Z INFO Batch 213: 10000 rows processed
2026-04-22T18:49:32.816125600Z INFO Batch 214: 10000 rows processed
2026-04-22T18:49:32.824647300Z INFO Batch 215: 10000 rows processed
2026-04-22T18:49:32.834060500Z INFO Batch 216: 10000 rows processed
2026-04-22T18:49:32.842582700Z INFO Batch 217: 10000 rows processed
2026-04-22T18:49:32.852642500Z INFO Batch 218: 10000 rows processed
2026-04-22T18:49:32.861849100Z INFO Batch 219: 10000 rows processed
2026-04-22T18:49:32.872396800Z INFO Batch 220: 10000 rows processed
2026-04-22T18:49:32.882947600Z INFO Batch 221: 10000 rows processed
2026-04-22T18:49:32.891461100Z INFO Batch 222: 10000 rows processed
2026-04-22T18:49:32.900993500Z INFO Batch 223: 10000 rows processed
2026-04-22T18:49:32.909534300Z INFO Batch 224: 10000 rows processed
2026-04-22T18:49:32.918037900Z INFO Batch 225: 10000 rows processed
2026-04-22T18:49:32.926049Z INFO Batch 226: 10000 rows processed
2026-04-22T18:49:32.936591700Z INFO Batch 227: 10000 rows processed
2026-04-22T18:49:32.945108600Z INFO Batch 228: 10000 rows processed
2026-04-22T18:49:32.954630200Z INFO Batch 229: 10000 rows processed
2026-04-22T18:49:32.964675700Z INFO Batch 230: 10000 rows processed
2026-04-22T18:49:32.973169900Z INFO Batch 231: 10000 rows processed
2026-04-22T18:49:32.982699300Z INFO Batch 232: 10000 rows processed
2026-04-22T18:49:32.992236200Z INFO Batch 233: 10000 rows processed
2026-04-22T18:49:32.999766400Z INFO Batch 234: 10000 rows processed
2026-04-22T18:49:33.010297200Z INFO Batch 235: 10000 rows processed
2026-04-22T18:49:33.018819900Z INFO Batch 236: 10000 rows processed
2026-04-22T18:49:33.026818400Z INFO Batch 237: 10000 rows processed
2026-04-22T18:49:33.245679200Z INFO Batch 238: 10000 rows processed
2026-04-22T18:49:33.258158500Z INFO Batch 239: 10000 rows processed
2026-04-22T18:49:33.266842Z INFO Batch 240: 10000 rows processed
2026-04-22T18:49:33.275953200Z INFO Batch 241: 10000 rows processed
2026-04-22T18:49:33.516272Z INFO Batch 242: 10000 rows processed
2026-04-22T18:49:33.531295800Z INFO Batch 243: 10000 rows processed
2026-04-22T18:49:33.546838400Z INFO Batch 244: 10000 rows processed
2026-04-22T18:49:33.562815200Z INFO Batch 245: 10000 rows processed
2026-04-22T18:49:33.580616600Z INFO Batch 246: 10000 rows processed
2026-04-22T18:49:33.594340700Z INFO Batch 247: 10000 rows processed
2026-04-22T18:49:33.610379100Z INFO Batch 248: 10000 rows processed
2026-04-22T18:49:33.624893300Z INFO Batch 249: 10000 rows processed
2026-04-22T18:49:33.633482600Z INFO Batch 250: 10000 rows processed
2026-04-22T18:49:33.641905900Z INFO Batch 251: 10000 rows processed
2026-04-22T18:49:33.651031200Z INFO Batch 252: 10000 rows processed
2026-04-22T18:49:33.659072200Z INFO Batch 253: 10000 rows processed
2026-04-22T18:49:33.668098900Z INFO Batch 254: 10000 rows processed
2026-04-22T18:49:33.678641200Z INFO Batch 255: 10000 rows processed
2026-04-22T18:49:33.688147600Z INFO Batch 256: 10000 rows processed
2026-04-22T18:49:33.696154300Z INFO Batch 257: 10000 rows processed
2026-04-22T18:49:33.704670800Z INFO Batch 258: 10000 rows processed
2026-04-22T18:49:33.713086900Z INFO Batch 259: 10000 rows processed
2026-04-22T18:49:33.721629500Z INFO Batch 260: 10000 rows processed
2026-04-22T18:49:33.730154400Z INFO Batch 261: 10000 rows processed
2026-04-22T18:49:33.738692900Z INFO Batch 262: 10000 rows processed
2026-04-22T18:49:33.748791500Z INFO Batch 263: 10000 rows processed
2026-04-22T18:49:33.756735600Z INFO Batch 264: 10000 rows processed
2026-04-22T18:49:33.765809100Z INFO Batch 265: 10000 rows processed
2026-04-22T18:49:33.773871400Z INFO Batch 266: 10000 rows processed
2026-04-22T18:49:33.783406800Z INFO Batch 267: 10000 rows processed
2026-04-22T18:49:33.968615Z INFO Batch 268: 10000 rows processed
2026-04-22T18:49:33.978116500Z INFO Batch 269: 10000 rows processed
2026-04-22T18:49:33.986133100Z INFO Batch 270: 10000 rows processed
2026-04-22T18:49:33.995658800Z INFO Batch 271: 10000 rows processed
2026-04-22T18:49:34.206318100Z INFO Batch 272: 10000 rows processed
2026-04-22T18:49:34.220357500Z INFO Batch 273: 10000 rows processed
2026-04-22T18:49:34.228891700Z INFO Batch 274: 10000 rows processed
2026-04-22T18:49:34.237892300Z INFO Batch 275: 10000 rows processed
2026-04-22T18:49:34.246404300Z INFO Batch 276: 10000 rows processed
2026-04-22T18:49:34.254919400Z INFO Batch 277: 10000 rows processed
2026-04-22T18:49:34.263433600Z INFO Batch 278: 10000 rows processed
2026-04-22T18:49:34.271957800Z INFO Batch 279: 10000 rows processed
2026-04-22T18:49:34.280479500Z INFO Batch 280: 10000 rows processed
2026-04-22T18:49:34.289003500Z INFO Batch 281: 10000 rows processed
2026-04-22T18:49:34.297514Z INFO Batch 282: 10000 rows processed
2026-04-22T18:49:34.305520300Z INFO Batch 283: 10000 rows processed
2026-04-22T18:49:34.314040Z INFO Batch 284: 10000 rows processed
2026-04-22T18:49:34.323543Z INFO Batch 285: 10000 rows processed
2026-04-22T18:49:34.331850100Z INFO Batch 286: 10000 rows processed
2026-04-22T18:49:34.340372200Z INFO Batch 287: 10000 rows processed
2026-04-22T18:49:34.349903300Z INFO Batch 288: 10000 rows processed
2026-04-22T18:49:34.359429900Z INFO Batch 289: 10000 rows processed
2026-04-22T18:49:34.492866200Z INFO Batch 290: 10000 rows processed
2026-04-22T18:49:34.503032700Z INFO Batch 291: 10000 rows processed
2026-04-22T18:49:34.511581300Z INFO Batch 292: 10000 rows processed
2026-04-22T18:49:34.520117200Z INFO Batch 293: 10000 rows processed
2026-04-22T18:49:34.528648700Z INFO Batch 294: 10000 rows processed
2026-04-22T18:49:34.536654400Z INFO Batch 295: 10000 rows processed
2026-04-22T18:49:34.546034600Z INFO Batch 296: 10000 rows processed
2026-04-22T18:49:34.554553400Z INFO Batch 297: 10000 rows processed
2026-04-22T18:49:34.744323900Z INFO Batch 298: 10000 rows processed
2026-04-22T18:49:34.763350700Z INFO Batch 299: 10000 rows processed
2026-04-22T18:49:34.779153800Z INFO Batch 300: 10000 rows processed
2026-04-22T18:49:34.794670900Z INFO Batch 301: 10000 rows processed
2026-04-22T18:49:34.806186500Z INFO Batch 302: 10000 rows processed
2026-04-22T18:49:34.815700400Z INFO Batch 303: 10000 rows processed
2026-04-22T18:49:34.824792800Z INFO Batch 304: 10000 rows processed
2026-04-22T18:49:34.833311800Z INFO Batch 305: 10000 rows processed
2026-04-22T18:49:34.842841Z INFO Batch 306: 10000 rows processed
2026-04-22T18:49:34.853363500Z INFO Batch 307: 10000 rows processed
2026-04-22T18:49:34.863443500Z INFO Batch 308: 10000 rows processed
2026-04-22T18:49:34.872965700Z INFO Batch 309: 10000 rows processed
2026-04-22T18:49:34.882489700Z INFO Batch 310: 10000 rows processed
2026-04-22T18:49:34.891038300Z INFO Batch 311: 10000 rows processed
2026-04-22T18:49:34.900557Z INFO Batch 312: 10000 rows processed
2026-04-22T18:49:34.909085Z INFO Batch 313: 10000 rows processed
2026-04-22T18:49:34.918603Z INFO Batch 314: 10000 rows processed
2026-04-22T18:49:34.927602500Z INFO Batch 315: 10000 rows processed
2026-04-22T18:49:35.086548300Z INFO Batch 316: 10000 rows processed
2026-04-22T18:49:35.096057200Z INFO Batch 317: 10000 rows processed
2026-04-22T18:49:35.104579500Z INFO Batch 318: 10000 rows processed
2026-04-22T18:49:35.114085400Z INFO Batch 319: 10000 rows processed
2026-04-22T18:49:35.123600700Z INFO Batch 320: 10000 rows processed
2026-04-22T18:49:35.315455100Z INFO Batch 321: 10000 rows processed
2026-04-22T18:49:35.323968100Z INFO Batch 322: 10000 rows processed
2026-04-22T18:49:35.333498200Z INFO Batch 323: 10000 rows processed
2026-04-22T18:49:35.342026800Z INFO Batch 324: 10000 rows processed
2026-04-22T18:49:35.351565500Z INFO Batch 325: 10000 rows processed
2026-04-22T18:49:35.361116100Z INFO Batch 326: 10000 rows processed
2026-04-22T18:49:35.370644500Z INFO Batch 327: 10000 rows processed
2026-04-22T18:49:35.379689800Z INFO Batch 328: 10000 rows processed
2026-04-22T18:49:35.388200400Z INFO Batch 329: 10000 rows processed
2026-04-22T18:49:35.397717400Z INFO Batch 330: 10000 rows processed
2026-04-22T18:49:35.406722900Z INFO Batch 331: 10000 rows processed
2026-04-22T18:49:35.415245Z INFO Batch 332: 10000 rows processed
2026-04-22T18:49:35.424759500Z INFO Batch 333: 10000 rows processed
2026-04-22T18:49:35.434007400Z INFO Batch 334: 10000 rows processed
2026-04-22T18:49:35.442546600Z INFO Batch 335: 10000 rows processed
2026-04-22T18:49:35.451072400Z INFO Batch 336: 10000 rows processed
2026-04-22T18:49:35.460247100Z INFO Batch 337: 10000 rows processed
2026-04-22T18:49:35.469790100Z INFO Batch 338: 10000 rows processed
2026-04-22T18:49:35.478338900Z INFO Batch 339: 10000 rows processed
2026-04-22T18:49:35.487847500Z INFO Batch 340: 10000 rows processed
2026-04-22T18:49:35.496861700Z INFO Batch 341: 10000 rows processed
2026-04-22T18:49:35.505371400Z INFO Batch 342: 10000 rows processed
2026-04-22T18:49:35.513883500Z INFO Batch 343: 10000 rows processed
2026-04-22T18:49:35.521928200Z INFO Batch 344: 10000 rows processed
2026-04-22T18:49:35.531461300Z INFO Batch 345: 10000 rows processed
2026-04-22T18:49:35.718286600Z INFO Batch 346: 10000 rows processed
2026-04-22T18:49:35.727812Z INFO Batch 347: 10000 rows processed
2026-04-22T18:49:35.736824Z INFO Batch 348: 10000 rows processed
2026-04-22T18:49:35.941665600Z INFO Batch 349: 10000 rows processed
2026-04-22T18:49:35.962201600Z INFO Batch 350: 10000 rows processed
2026-04-22T18:49:35.978225600Z INFO Batch 351: 10000 rows processed
2026-04-22T18:49:35.986240200Z INFO Batch 352: 10000 rows processed
2026-04-22T18:49:35.995762700Z INFO Batch 353: 10000 rows processed
2026-04-22T18:49:36.004276400Z INFO Batch 354: 10000 rows processed
2026-04-22T18:49:36.012806400Z INFO Batch 355: 10000 rows processed
2026-04-22T18:49:36.020328700Z INFO Batch 356: 10000 rows processed
2026-04-22T18:49:36.029862700Z INFO Batch 357: 10000 rows processed
2026-04-22T18:49:36.039396300Z INFO Batch 358: 10000 rows processed
2026-04-22T18:49:36.047915900Z INFO Batch 359: 10000 rows processed
2026-04-22T18:49:36.055928100Z INFO Batch 360: 10000 rows processed
2026-04-22T18:49:36.064850100Z INFO Batch 361: 10000 rows processed
2026-04-22T18:49:36.074190900Z INFO Batch 362: 10000 rows processed
2026-04-22T18:49:36.082701400Z INFO Batch 363: 10000 rows processed
2026-04-22T18:49:36.091219300Z INFO Batch 364: 10000 rows processed
2026-04-22T18:49:36.098749900Z INFO Batch 365: 10000 rows processed
2026-04-22T18:49:36.108267700Z INFO Batch 366: 10000 rows processed
2026-04-22T18:49:36.118144100Z INFO Batch 367: 10000 rows processed
2026-04-22T18:49:36.126794600Z INFO Batch 368: 10000 rows processed
2026-04-22T18:49:36.136307700Z INFO Batch 369: 10000 rows processed
2026-04-22T18:49:36.144822200Z INFO Batch 370: 10000 rows processed
2026-04-22T18:49:36.153344900Z INFO Batch 371: 10000 rows processed
2026-04-22T18:49:36.161390600Z INFO Batch 372: 10000 rows processed
2026-04-22T18:49:36.169914800Z INFO Batch 373: 10000 rows processed
2026-04-22T18:49:36.178413700Z INFO Batch 374: 10000 rows processed
2026-04-22T18:49:36.186428300Z INFO Batch 375: 10000 rows processed
2026-04-22T18:49:36.195954600Z INFO Batch 376: 10000 rows processed
2026-04-22T18:49:36.206462Z INFO Batch 377: 10000 rows processed
2026-04-22T18:49:36.214977100Z INFO Batch 378: 10000 rows processed
2026-04-22T18:49:36.224061700Z INFO Batch 379: 10000 rows processed
2026-04-22T18:49:36.439099100Z INFO Batch 380: 10000 rows processed
2026-04-22T18:49:36.654681800Z INFO Batch 381: 10000 rows processed
2026-04-22T18:49:36.668787600Z INFO Batch 382: 10000 rows processed
2026-04-22T18:49:36.676821300Z INFO Batch 383: 10000 rows processed
2026-04-22T18:49:36.685363500Z INFO Batch 384: 10000 rows processed
2026-04-22T18:49:36.693981100Z INFO Batch 385: 10000 rows processed
2026-04-22T18:49:36.703535500Z INFO Batch 386: 10000 rows processed
2026-04-22T18:49:36.712082300Z INFO Batch 387: 10000 rows processed
2026-04-22T18:49:36.721649800Z INFO Batch 388: 10000 rows processed
